_id,timestamp,temperature,humidity,fan
669c7cd4f6b8fd8471bcbf05,21/07/2024 10:13:24,24.5,62.0,1
669c7e00f6b8fd8471bcbf06,21/07/2024 10:18:24,24.1,61.0,1
669c7f2cf6b8fd8471bcbf07,21/07/2024 10:23:24,23.8,59.0,1
669c8058f6b8fd8471bcbf08,21/07/2024 10:28:24,23.8,57.0,1
669c8185f6b8fd8471bcbf09,21/07/2024 10:33:25,23.4,56.0,1
669c82b1f6b8fd8471bcbf0a,21/07/2024 10:38:25,23.4,55.0,1
669c83ddf6b8fd8471bcbf0b,21/07/2024 10:43:25,23.4,54.0,1
669c850af6b8fd8471bcbf0c,21/07/2024 10:48:25,23.0,54.0,1
669c8636f6b8fd8471bcbf0d,21/07/2024 10:53:26,23.0,53.0,1
669c8762f6b8fd8471bcbf0e,21/07/2024 10:58:26,23.0,53.0,1
669c888ef6b8fd8471bcbf0f,21/07/2024 11:03:26,22.7,53.0,1
669c89baf6b8fd8471bcbf10,21/07/2024 11:08:26,23.0,52.0,1
669c8ae7f6b8fd8471bcbf11,21/07/2024 11:13:27,22.6,52.0,1
669c8c13f6b8fd8471bcbf12,21/07/2024 11:18:27,22.6,52.0,1
669c8d3ff6b8fd8471bcbf13,21/07/2024 11:23:27,22.6,51.0,1
669c8e6bf6b8fd8471bcbf14,21/07/2024 11:28:27,22.6,51.0,1
669c8f97f6b8fd8471bcbf15,21/07/2024 11:33:27,22.6,51.0,1
669c90c4f6b8fd8471bcbf16,21/07/2024 11:38:27,22.6,50.0,1
669c91f0f6b8fd8471bcbf17,21/07/2024 11:43:28,22.2,50.0,1
669c9321f6b8fd8471bcbf18,21/07/2024 11:48:33,23.0,54.0,1
669c944df6b8fd8471bcbf19,21/07/2024 11:53:33,22.6,54.0,1
669c9579f6b8fd8471bcbf1a,21/07/2024 11:58:33,22.6,54.0,1
669c96a6f6b8fd8471bcbf1b,21/07/2024 12:03:34,22.6,53.0,1
669c97d2f6b8fd8471bcbf1c,21/07/2024 12:08:34,22.2,51.0,1
669c98fef6b8fd8471bcbf1d,21/07/2024 12:13:34,23.0,54.0,1
669c9a2bf6b8fd8471bcbf1e,21/07/2024 12:18:34,22.6,54.0,1
669c9b57f6b8fd8471bcbf1f,21/07/2024 12:23:35,22.6,53.0,1
669c9c83f6b8fd8471bcbf20,21/07/2024 12:28:35,22.2,51.0,1
669c9daff6b8fd8471bcbf21,21/07/2024 12:33:35,22.2,50.0,1
669c9edbf6b8fd8471bcbf22,21/07/2024 12:38:35,22.6,53.0,1
669ca008f6b8fd8471bcbf23,21/07/2024 12:43:36,23.0,56.0,1
669ca134f6b8fd8471bcbf24,21/07/2024 12:48:36,22.6,54.0,1
669ca260f6b8fd8471bcbf25,21/07/2024 12:53:36,22.2,52.0,1
669ca38cf6b8fd8471bcbf26,21/07/2024 12:58:36,22.2,52.0,1
669ca4b9f6b8fd8471bcbf27,21/07/2024 13:03:36,22.2,51.0,1
669ca5e5f6b8fd8471bcbf28,21/07/2024 13:08:37,22.6,53.0,1
669ca711f6b8fd8471bcbf29,21/07/2024 13:13:37,22.6,55.0,1
669ca83df6b8fd8471bcbf2a,21/07/2024 13:18:37,22.6,54.0,1
669ca96af6b8fd8471bcbf2b,21/07/2024 13:23:37,22.6,53.0,1
669caa96f6b8fd8471bcbf2c,21/07/2024 13:28:38,23.0,57.0,1
669cabc2f6b8fd8471bcbf2d,21/07/2024 13:33:38,23.0,55.0,1
669caceff6b8fd8471bcbf2e,21/07/2024 13:38:39,23.4,55.0,1
669cae1bf6b8fd8471bcbf2f,21/07/2024 13:43:39,23.4,56.0,1
669caf47f6b8fd8471bcbf30,21/07/2024 13:48:39,23.0,54.0,1
669cb074f6b8fd8471bcbf31,21/07/2024 13:53:40,23.4,51.0,1
669cb1a0f6b8fd8471bcbf32,21/07/2024 13:58:40,23.8,55.0,1
669cb2cdf6b8fd8471bcbf33,21/07/2024 14:03:41,23.4,54.0,1
669cb3f9f6b8fd8471bcbf34,21/07/2024 14:08:41,23.4,52.0,1
669cb525f6b8fd8471bcbf35,21/07/2024 14:13:41,23.4,54.0,1
669cb651f6b8fd8471bcbf36,21/07/2024 14:18:41,23.4,54.0,1
669cb77ef6b8fd8471bcbf37,21/07/2024 14:23:42,23.0,53.0,1
669cd53cb4da087d03f07ab7,21/07/2024 16:30:36,23.0,58.0,0
669cd668b4da087d03f07ab8,21/07/2024 16:35:36,22.6,55.0,0
669cd795b4da087d03f07ab9,21/07/2024 16:40:37,23.0,59.0,0
669cd8c1b4da087d03f07aba,21/07/2024 16:45:37,23.0,60.0,0
669cd9edb4da087d03f07abb,21/07/2024 16:50:37,23.0,56.0,0
669cdb19b4da087d03f07abc,21/07/2024 16:55:37,22.6,54.0,0
669cdc45b4da087d03f07abd,21/07/2024 17:00:37,23.4,59.0,0
669cdd72b4da087d03f07abe,21/07/2024 17:05:38,23.0,57.0,0
669cde9eb4da087d03f07abf,21/07/2024 17:10:38,23.0,58.0,0
669cdfcab4da087d03f07ac0,21/07/2024 17:15:38,23.4,59.0,0
669ce0f7b4da087d03f07ac1,21/07/2024 17:20:39,23.0,55.0,0
669ce223b4da087d03f07ac2,21/07/2024 17:25:39,22.6,53.0,0
669ce34fb4da087d03f07ac3,21/07/2024 17:30:39,22.6,52.0,0
669ce47cb4da087d03f07ac4,21/07/2024 17:35:39,23.0,53.0,0
669ce5a8b4da087d03f07ac5,21/07/2024 17:40:40,23.4,57.0,0
669ce6d5b4da087d03f07ac6,21/07/2024 17:45:40,22.6,54.0,0
669ce801b4da087d03f07ac7,21/07/2024 17:50:41,23.4,58.0,0
669ce92eb4da087d03f07ac8,21/07/2024 17:55:41,23.0,55.0,0
669cea5ab4da087d03f07ac9,21/07/2024 18:00:42,23.0,58.0,0
669ceb86b4da087d03f07aca,21/07/2024 18:05:42,23.0,56.0,0
669cecb2b4da087d03f07acb,21/07/2024 18:10:42,23.0,53.0,0
669ceddfb4da087d03f07acc,21/07/2024 18:15:42,23.2,59.0,0
669cef0bb4da087d03f07acd,21/07/2024 18:20:43,23.0,56.0,0
669cf037b4da087d03f07ace,21/07/2024 18:25:43,22.6,56.0,0
669cf164b4da087d03f07acf,21/07/2024 18:30:43,23.0,60.0,0
669cf290b4da087d03f07ad0,21/07/2024 18:35:44,23.0,56.0,0
669cf3bcb4da087d03f07ad1,21/07/2024 18:40:44,23.0,58.0,0
669cf4e8b4da087d03f07ad2,21/07/2024 18:45:44,23.0,59.0,0
669cf615b4da087d03f07ad3,21/07/2024 18:50:44,22.6,56.0,0
669cf741b4da087d03f07ad4,21/07/2024 18:55:45,23.4,61.0,0
669cf86db4da087d03f07ad5,21/07/2024 19:00:45,23.0,58.0,0
669cf999b4da087d03f07ad6,21/07/2024 19:05:45,23.4,61.0,0
669cfac6b4da087d03f07ad7,21/07/2024 19:10:45,23.0,58.0,0
669cfbf2b4da087d03f07ad8,21/07/2024 19:15:46,23.0,55.0,0
669cfd1eb4da087d03f07ad9,21/07/2024 19:20:46,23.4,59.0,0
669cfe4bb4da087d03f07ada,21/07/2024 19:25:47,23.0,55.0,0
669cff77b4da087d03f07adb,21/07/2024 19:30:47,23.0,53.0,0
669d00a4b4da087d03f07adc,21/07/2024 19:35:48,23.8,58.0,0
669d01d0b4da087d03f07add,21/07/2024 19:40:48,23.4,54.0,0
669d02fcb4da087d03f07ade,21/07/2024 19:45:48,23.4,53.0,0
669d0428b4da087d03f07adf,21/07/2024 19:50:48,24.1,58.0,0
669d0555b4da087d03f07ae0,21/07/2024 19:55:49,23.8,54.0,0
669d0681b4da087d03f07ae1,21/07/2024 20:00:49,23.8,54.0,0
669d07adb4da087d03f07ae2,21/07/2024 20:05:49,24.1,55.0,0
669d08d9b4da087d03f07ae3,21/07/2024 20:10:49,23.8,52.0,0
669d0a06b4da087d03f07ae4,21/07/2024 20:15:50,24.1,56.0,0
669d0b32b4da087d03f07ae5,21/07/2024 20:20:50,24.1,53.0,0
669d0c5eb4da087d03f07ae6,21/07/2024 20:25:50,23.8,51.0,0
669d0d8ab4da087d03f07ae7,21/07/2024 20:30:50,23.0,50.0,0
669d0eb7b4da087d03f07ae8,21/07/2024 20:35:51,23.4,56.0,0
669d0fe3b4da087d03f07ae9,21/07/2024 20:40:51,23.8,54.0,0
